School,G,W_Tot,L_Tot,W_L_Percentage,Simple_Rating_System,Strength_Of_Schedule,W_Conf,L_Conf,W_Home,L_Home,W_Away,L_Away,Tm_Pts,Opp_Pts,MP,FG,FGA,FG_Percentage,ThreeP,ThreePA,ThreeP_Percentage,FT,FTA,FT_Percentage,ORB,TRB,AST,STL,BLK,TOV,PF,Season
Missouri State,34,23,11,.676,8.29,1.05,13,5,12,4,8,5,2628,2342,1370,954,1980,.482,283,756,.374,437,548,.797,275,1199,413,181,113,362,522,2022
Monmouth,34,21,13,.618,-0.39,-1.68,11,9,9,5,10,7,2333,2289,1370,801,1915,.418,216,652,.331,515,707,.728,355,1241,397,213,113,398,615,2022
Montana,32,18,14,.563,-6.48,-6.21,11,9,14,3,4,10,2310,2141,1285,794,1752,.453,224,641,.349,498,634,.785,200,980,420,176,91,328,599,2022
Montana State NCAA,35,27,8,.771,-0.26,-5.54,16,4,13,1,9,6,2679,2425,1415,923,1952,.473,268,729,.368,565,749,.754,305,1230,462,183,128,450,639,2022
Morehead State,34,23,11,.676,0.79,-3.43,13,5,12,2,8,8,2379,2158,1365,868,1904,.456,283,786,.360,360,540,.667,351,1246,546,199,196,458,511,2022
Morgan State,28,13,15,.464,-12.62,-8.12,7,6,8,3,3,10,2100,2025,1125,771,1764,.437,172,549,.313,386,570,.677,336,1030,414,237,96,431,551,2022
Mount St. Mary's,30,14,16,.467,-8.20,-7.20,9,7,8,5,6,11,1984,1958,1210,750,1693,.443,178,516,.345,306,445,.688,321,1050,398,171,121,388,472,2022
Murray State NCAA,34,31,3,.912,9.87,-3.07,18,0,15,0,11,1,2690,2150,1365,978,2056,.476,272,775,.351,462,668,.692,424,1328,501,266,108,389,524,2022
Navy,32,21,11,.656,-2.94,-6.36,12,6,9,6,11,5,2079,1924,1290,770,1792,.430,184,565,.326,355,542,.655,378,1194,392,226,107,412,511,2022
NC State,32,11,21,.344,3.77,6.37,4,16,7,10,3,7,2336,2419,1305,824,1997,.413,267,783,.341,421,581,.725,377,1115,362,225,118,321,527,2022
Nebraska,32,10,22,.313,3.00,8.25,4,16,7,12,3,8,2345,2513,1305,832,1875,.444,224,701,.320,457,625,.731,234,1059,408,230,87,402,556,2022
Nevada,31,13,18,.419,3.71,6.07,6,12,7,7,3,9,2249,2284,1240,802,1786,.449,216,648,.333,429,573,.749,257,1077,453,198,103,409,545,2022
Nevada-Las Vegas,32,18,14,.563,7.20,4.58,10,8,14,4,4,7,2236,2099,1280,782,1842,.425,263,783,.336,409,554,.738,308,1156,442,196,90,358,571,2022
New Hampshire,28,15,13,.536,-6.32,-7.21,10,8,10,4,5,9,1925,1819,1120,706,1605,.440,242,661,.366,271,405,.669,279,1004,340,130,80,254,376,2022
New Mexico,32,13,19,.406,1.25,4.32,5,12,11,7,2,9,2376,2411,1290,834,1920,.434,249,724,.344,459,612,.750,277,1088,376,200,139,375,587,2022
